# module	vaddr	symbol
srtc_drv.c	0x00aeb3d8	sceSblSrtcSetTick
srtc_drv.c	0x00aeb489	sceSblSrtcClearDebugTime
srtc_drv.c	0x00aeb4a2	srtc_cdev
srtc_drv.c	0x00aeb4ce	clear_rtc_counter_adjust
srtc_drv.c	0x00aeb50b	_sceSblSrtcUpdateSecureTimeNoSnvsLock
srtc_drv.c	0x00aeb531	update_rtc_counter_adjust
srtc_drv.c	0x00aeb568	set_time
srtc_drv.c	0x00aeb58c	_sceSblSrtcUpdateTimeNoSnvsLock
srtc_drv.c	0x00aeb621	_sceSblSrtcSetTimeDifferenceNoSnvsLock
srtc_drv.c	0x00aeb69e	_sceSblSrtcClearTimeDifferencesNoSnvsLock
srtc_drv.c	0x00aeb704	srtc
srtc_drv.c	0x00aeb709	sbl_sm_service
srtc_drv.c	0x00aeb718	sbl_service
srtc_drv.c	0x00aeb724	sbl_driver
srtc_drv.c	0x00aeb72f	kernel
srtc_drv.c	0x00aeb736	system_resume_phase2
srtc_drv.c	0x00aeb74b	srtc_system_resume
srtc_drv.c	0x00aeb75e	srtc_sx
srtc_drv.c	0x00aeb78d	srtc_create_dev
srtc_drv.c	0x00aeb85f	_sceSblSrtcGetTimeDifference
srtc_drv.c	0x00aeb8e0	_sceSblSrtcConvertStatusFlagNoSnvsLock
srtc_drv.c	0x00aeb96d	srtc_ioctl
srtc_drv.c	0x00aebaac	pupupdater
srtc_drv.c	0x00aebab7	sflash0s0
srtc_drv.c	0x00aebada	C0000001
srtc_drv.c	0x00aebb0d	sflash0s1
srtc_drv.c	0x00aebbec	pup_update
srtc_drv.c	0x00aebbf7	sbl_driver
srtc_drv.c	0x00aebc02	sbl_service
srtc_drv.c	0x00aebc0e	sbl_chunk
srtc_drv.c	0x00aebc18	sbl_sm_service
srtc_drv.c	0x00aebc27	kernel
srtc_drv.c	0x00aebc2e	pup_update0
pup_update.c	0x00aebc87	copyin
pup_update.c	0x00aebc8e	copyout
pup_update.c	0x00aebca6	system_ex_version
pup_update.c	0x00aebccd	buildnum
pup_update.c	0x00aebdb8	eipkas
pup_update.c	0x00aebdbf	sbl_service
pup_update.c	0x00aebdcb	sbl_driver
pup_update.c	0x00aebdd6	kernel
pup_update.c	0x00aebddd	eipkas_sx
pup_update.c	0x00aebe0e	eipkas_open
eipk_addsign_drv.c	0x00aebe99	eipkas_ioctl
eipk_addsign_drv.c	0x00aec00d	setStatus
devact.c	0x00aec085	setSblStatus
devact.c	0x00aec0d7	setPupExpirationStatus
devact.c	0x00aec0ee	devact
devact.c	0x00aec0f5	srtc
devact.c	0x00aec0fa	kernel
devact.c	0x00aec10f	system_resume_phase4
devact.c	0x00aec124	setStatusOnResume
devact.c	0x00aec136	setPupExpirationStatusOnResume
devact.c	0x00aec182	devact_ioctl
devact.c	0x00aec2bb	verifyCodeOnStorage
devact.c	0x00aec2cf	copyin
devact.c	0x00aec2ea	copyout
devact.c	0x00aec310	renewExpiration
devact.c	0x00aec346	convertError
devact.c	0x00aec353	getIssueNoOnStorage
devact.c	0x00aec385	setPassCode
devact.c	0x00aec3b1	checkPassCode
pltauth2.c	0x00aec4b2	pltauth_get_kernel_text
pltauth2.c	0x00aec4f7	pltauth2
pltauth2.c	0x00aec500	kernel
pltauth2.c	0x00aec527	pltauth_modevent
pltauth2.c	0x00aec538	pltauth_xlock
pltauth2.c	0x00aec559	pltauth0
pltauth2.c	0x00aec583	pltauth_load
pltauth2.c	0x00aec590	pltauth1
pltauth2.c	0x00aec5e2	SblPltAuthTskQ
pltauth2.c	0x00aec622	pltauth_open0
pltauth2.c	0x00aec655	pltauth_ioctl_nolock
pltauth2.c	0x00aec75e	copyin
pltauth2.c	0x00aec765	copyout
pltauth2.c	0x00aec7a0	pltauth_set_region_info_for_system_integrity_check
pltauth2.c	0x00aec814	pltauth_open1
pltauth2.c	0x00aec95a	srtc
pltauth2.c	0x00aec95f	kernel
pltauth2.c	0x00aec990	driveauth_ioctl
pltauth2.c	0x00aeca33	copyin
pltauth2.c	0x00aeca3a	copyout
pltauth2.c	0x00aeca68	convertError
pltauth2.c	0x00aecad0	discid
pltauth2.c	0x00aecad7	driveauth
pltauth2.c	0x00aecae1	kernel
pltauth2.c	0x00aecae8	duid
pltauth2.c	0x00aecb0a	discid_ioctl
